id,type,direct_hit,rerank_hit,direct_refused,rerank_refused
1,fact,1,1,,
2,fact,1,1,,
3,fact,1,1,,
4,fact,1,1,,
5,fact,1,1,,
6,process,1,1,,
7,process,1,1,,
8,process,1,1,,
9,process,1,1,,
10,process,1,1,,
11,process,1,1,,
12,process,1,1,,
13,process,1,1,,
14,process,1,1,,
15,process,1,1,,
16,judge,1,1,,
17,judge,1,1,,
18,judge,1,1,,
19,judge,1,1,,
20,judge,1,1,,
21,judge,1,1,,
22,judge,1,1,,
23,judge,1,1,,
24,judge,1,1,,
25,judge,1,1,,
26,unanswerable,,,True,True
27,unanswerable,,,True,True
28,unanswerable,,,True,True
29,unanswerable,,,True,True
30,unanswerable,,,True,True

汇总,,,,,
direct hit@4,25/25,100.0%
rerank hit@4,25/25,100.0%
direct 拒答率,5/5
rerank 拒答率,5/5
