id,type,question,direct_hit,mq_hit,hyde_hit,direct_lat_ms,mq_lat_ms,hyde_lat_ms,direct_refused,mq_refused,hyde_refused,mq_variants,hyde_text
1,fact,GB 50174标准中，冷通道或机柜进风区域的温度应控制在什么范围？,1,1,1,207.1,11146.9,15890.0,,,,根据GB 50174规范，数据中心冷通道及机柜进风口的温度标准范围是多少？ | 机房GB 50174标准对冷通道或机柜进风侧的温度控制要求处于哪个区间？ | 按照GB 50174的规定，机柜进风区域和冷通道的温度应该保持在多少度之间？,依据《数据中心设计规范》（GB 50174-2017）及行业最佳实践，为保障IT设施高可用性并优化PUE能效指标，A级和B级数据中心冷通道或机柜进风区域的基准温度应严格控制在18℃～27℃范围内。同时，相对湿度需维持在20%～80%（无凝结），露点温度上限为17℃。运维规程要求依托DCIM系统进行实
2,fact,根据GB 50174，新建数据中心主机房的净高不宜小于多少米？,1,1,1,150.0,11703.2,23798.5,,,,按照GB 50174标准，新建的数据中心主机房最低净高要求是多少米？ | GB 50174规范中规定，新建数据中心的主机房净高下限是多少？ | 依据《数据中心设计规范》GB 50174，新建数据中心主机房的净高不应低于多少米？,依据现行国家标准《数据中心设计规范》（GB 50174），新建数据中心主机房的净高应结合机柜高度、桥架管线及气流组织进行综合测算。通常要求主机房梁下净高不宜小于3.0米，以保障冷热通道隔离效果，从而有效控制PUE指标。此外，合理的净高设计亦是满足高等级SLA可用性要求、确保日常运维空间及消防气体灭火
3,fact,GB/T 2887规定计算机机房的最小使用面积不宜小于多少平方米？,1,1,1,134.3,12568.2,19329.0,,,,根据GB/T 2887标准，计算机机房的使用面积最低不能低于多少平米？ | GB/T 2887规范中，计算机机房面积的下限规定为多少平方米？ | 按照GB/T 2887的要求，电子计算机机房最小使用面积不应少于多少平方米？,依据《GB/T 2887 计算机场地通用规范》与《GB 50174 数据中心设计规范》相关条款，为保障基础设施冗余架构与气流组织优化，计算机机房的最小使用面积需结合功耗密度与SLA等级综合评估。通常为满足冷热通道隔离、配电及制冷末端部署需求，主机房最小使用面积不宜小于20平方米。在实际运维规划中，还
4,fact,GB/T 2887中，计算机机房正常照明的照度不应低于多少勒克斯（lx）？,1,0,0,126.6,13655.6,19835.9,,,,根据GB/T 2887标准，电子计算机机房内正常照明的最低照度要求是多少勒克斯？ | 依据GB/T 2887规定，计算机机房正常照明的照度下限是多少lx？ | 按照GB/T 2887规范，机房正常照明照度不能低于多少勒克斯？,依据《GB/T 2887 计算机场地通用规范》与《GB 50174 数据中心设计规范》，数据中心主机房正常照明照度标准值不应低于 500 lx（勒克斯），辅助区不应低于 300 lx。在 IDC 基础设施运维与 SLA 保障体系中，照度管理需满足设备巡检需求，并结合应急照明与智能控制策略以优化 PU
5,fact,GB 50174要求主机房与室外的静压差不宜小于多少帕（Pa）？,1,1,1,145.1,12179.9,31368.5,True,True,True,根据GB 50174标准，主机房和室外之间的静压差最小应保持在多少帕斯卡？ | GB 50174规范中规定，主机房相对于室外的静压差下限值是多少Pa？ | 依据GB 50174，主机房与室外环境间的静压差不得低于多少帕？,根据《数据中心设计规范》（GB 50174）及基础设施运维标准，为保障空气洁净度，主机房必须维持微正压环境。规范明确要求，主机房与室外的静压差不应小于9.8Pa（工程常取10Pa），与辅助房间不宜小于4.9Pa。在日常运维与SLA考核中，需通过精密空调及新风系统联动控制，在优化PUE的同时实时监测并
6,process,GB 50174将数据中心划分为哪几个等级，各自的配置原则是什么？,1,1,1,226.5,12422.1,22656.9,,,,根据GB 50174标准，数据中心分为哪些级别，每个级别的建设配置要求有哪些？ | GB 50174规范中数据中心的等级分类是怎样的，不同等级对应的配置原则有何区别？ | 依据国家标准GB 50174，数据中心被划分成哪几类等级，其各自的设计与配置标准是什么？,依据《数据中心设计规范》（GB 50174），数据中心基础设施按可用性与容错能力划分为A、B、C三级。A级为容错系统，配置原则要求具备最高SLA保障，机电架构采用2N或2(N+1)冗余，确保单点故障不中断业务；B级为冗余系统，按N+1配置，满足较高可用性，允许维护期降级运行；C级为基本系统，按N配置
7,process,GB 50174中A级数据中心对供电电源和后备柴油发电机有什么要求？,1,1,1,129.4,10413.3,24128.0,,,,根据GB 50174标准，A级数据中心的市电电源与备用柴油发电机需要满足哪些配置规定？ | 数据中心设计规范GB 50174对A级机房的供电系统及后备柴发机组有哪些具体技术要求？ | 按照GB 50174的规定，建设A级数据中心时其供电电源和备用柴油发电机应达到什么标准？,依据GB 50174规范，A级数据中心基础设施需满足容错级别要求。市电应采用双重电源供电，UPS架构须为2N或2(N+1)配置，保障SLA达99.99%。后备柴油发电机应作为独立应急电源，配置标准不低于N+1，且具备ATS自动切换与并机运行能力。在满足PUE指标前提下，日用储油设施需保障满载运行12
8,process,根据GB 50174，单台机柜发热量大于4kW的主机房宜采用哪些制冷方式？,1,1,1,118.5,13583.6,22242.6,False,True,True,依据GB 50174标准，当主机房内单机柜发热量超过4千瓦时，推荐使用什么制冷系统？ | 按照GB 50174规范，单台机柜热负荷大于4kW的主机房建议采取何种空调制冷方案？ | 根据数据中心设计规范GB 50174，若单柜发热量高于4kW，主机房适宜选择哪几种冷却方式？,依据《数据中心设计规范》（GB 50174），当主机房单台机柜发热量大于4kW时，为保障SLA并优化PUE，宜采用行级精密空调（In-Row）结合冷热通道封闭技术，或采用架空地板下送风与冷通道隔离架构。针对高密节点，推荐引入冷板式或浸没式液冷方案。上述制冷方式可消除局部热点，优化气流组织，确保IT设
9,process,GB/T 2887对计算机机房的供电电源电压、频率和接地方式有什么规定？,1,1,0,1198.7,13766.9,15042.2,True,True,True,根据GB/T 2887标准，计算机机房在电源电压、供电频率以及接地方式方面有哪些具体要求？ | GB/T 2887规范中，关于电子计算机场地的供电电压、频率及接地系统是如何规定的？ | 依据GB/T 2887，计算机场地的供电电压指标、频率范围及接地形式应满足什么条件？,依据GB/T 2887《计算机场地通用规范》与GB50174标准，数据中心基础设施供电需满足高可用SLA指标。交流电源电压稳态偏移应控制在±5%内，频率波动不超过±0.2Hz，以保障IT设备效能与PUE优化。接地系统强制采用TN-S接零保护方式，实行交流工作接地、安全保护接地与防雷接地共用的联合接地
10,process,GB/T 2887中，什么情况下场地应安装自动灭火系统？,1,1,1,226.7,12354.9,22046.9,,,,根据GB/T 2887标准，计算机场地在哪些条件下必须配置自动灭火装置？ | GB/T 2887规范中要求场地设置自动灭火系统的具体适用情形是什么？ | 依据GB/T 2887规定，满足何种条件的场地需要配备自动灭火设施？,依据GB/T 2887《计算机场地通用规范》与GB 50174标准，当数据中心可用性等级达到A级或B级，且主机房、变配电室等核心区域面积超阈值，或部署高密度机柜及关键存储介质时，必须配置自动灭火系统。为保障SLA并控制PUE，通常采用七氟丙烷、IG541等洁净气体或高压细水雾系统。具体部署条件需结合
11,process,GB 50174对数据中心的耐火等级和防火隔墙有什么要求？,1,1,1,114.5,11367.6,19999.9,,,,《数据中心设计规范》GB 50174中关于建筑耐火等级与防火隔墙的具体规定是什么？ | 根据GB 50174标准，数据中心的防火隔墙及整体耐火等级需要达到怎样的要求？ | GB50174规范对数据中心机房的耐火等级和防火分隔墙体有哪些明确的指标要求？,依据《数据中心设计规范》（GB 50174），数据中心建筑的耐火等级不应低于二级。A级和B级数据中心的主机房及辅助区，应采用耐火极限不低于2.00h的防火隔墙与其他部位进行防火分隔，隔墙上的门须为甲级防火门。主机房宜独立划分防火分区，合建时需落实严格的物理隔离。此外，消防系统配置需与数据中心SLA保
